id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
48690,PROPERTY,"Unit 507, Middle Level",SC,true,To Let,285000,,2021-01-25T15:00:11,2016-07-19T16:06:09,Birmingham | B5 4BU,52.4777985,-1.8934,1872,"Unit 507, Middle Level, The Bullring Estate","birmingham | b5 4bu,unit 507, middle level, the bullring estate,"
48705,PROPERTY,"Unit 519, Middle Level",SC,true,To Let,,,2020-05-04T14:11:33,2013-08-29T15:25:53,Birmingham | B5 4BU,52.4777985,-1.8934,1460,"Unit 519, Middle Level, The Bullring Estate","birmingham | b5 4bu,unit 519, middle level, the bullring estate,"
48710,PROPERTY,"Unit 524, Middle Level",SC,true,Under Offer,,,2020-05-04T14:11:33,2013-08-29T15:26:24,Birmingham | B5 4BU,52.4777985,-1.8934,2570,"Unit 524, Middle Level, The Bullring Estate","birmingham | b5 4bu,unit 524, middle level, the bullring estate,"
48713,PROPERTY,"Unit 529, Middle Level",SC,true,To Let,,,2020-05-04T14:11:33,2013-08-29T15:26:43,Birmingham | B5 4BU,52.4777985,-1.8934,310,"Unit 529, Middle Level, The Bullring Estate","birmingham | b5 4bu,unit 529, middle level, the bullring estate,"
48741,PROPERTY,"Unit 733, Upper Level",SC,true,To Let,,,2020-05-04T14:11:33,2013-08-29T15:33:18,Birmingham | B5 4BU,52.4777985,-1.8934,355,"Unit 733, Upper Level, The Bullring Estate","birmingham | b5 4bu,unit 733, upper level, the bullring estate,"
48745,PROPERTY,"Unit 739, Upper Level",SC,true,Under Offer,,,2021-01-25T14:50:57,2013-08-29T15:33:36,Birmingham | B5 4BU,52.4777985,-1.8934,3690,"Unit 739, Upper Level, The Bullring Estate","birmingham | b5 4bu,unit 739, upper level, the bullring estate,"
48753,PROPERTY,"Unit 749, Upper Level",SC,true,To Let,,,2020-05-04T14:11:33,2013-08-29T15:35:26,Birmingham | B5 4BU,52.4777985,-1.8934,680,"Unit 749, Upper Level, The Bullring Estate","birmingham | b5 4bu,unit 749, upper level, the bullring estate,"
48814,PROPERTY,"Unit L14, LinkStreet",SC,true,To Let,,,2020-05-04T14:11:33,2013-08-02T08:41:49,Birmingham | B5 4BU,52.4777985,-1.8934,1099,"Unit L14, LinkStreet, The Bullring Estate","birmingham | b5 4bu,unit l14, linkstreet, the bullring estate,"
49266,PROPERTY,Unit 110,SC,true,To Let,,,2021-03-09T15:31:50,2016-05-12T12:10:32,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,733,"Unit 110, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 110, gracechurch centre,"
51149,PROPERTY,"Unit 46, Grand Central",SC,true,To Let,,,2020-10-15T16:59:42,2013-10-03T09:29:32,Birmingham | B5 4BU,52.4777985,-1.8934,,"Unit 46, Grand Central, The Bullring Estate","birmingham | b5 4bu,unit 46, grand central, the bullring estate,"
52767,PROPERTY,Unit 18,SC,false,To Let,,,2019-12-12T15:41:08,2015-10-28T11:26:46,"High Street, Erdington, Erdington | B23 6RY",52.5238991,-1.8385,888,"Unit 18, Central Square Shopping Centre","high street, erdington, erdington | b23 6ry,unit 18, central square shopping centre,"
